"filename", "language", "Shell Script", "Makefile", "Markdown", "C++", "Assembly", "C", "YAML", "Perl", "JSON", "Poryasm", "Poryscript", "PowerShell", "comment", "blank", "total"
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\.github\calcrom\calcrom.pl", "Perl", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 27, 26, 176
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\.github\calcrom\webhook.sh", "Shell Script", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\.github\pull_request_template.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 8
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 11, 69
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\INSTALL.md", "Markdown", 0, 0, 426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 584
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\Makefile", "Makefile", 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 83, 444
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\README.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros.inc", "Assembly", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\asm.inc", "Assembly", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_ai_script.inc", "Assembly", 0, 0, 0, 0, 506, 0, 0, 0, 0, 0, 0, 0, 0, 114, 620
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_anim_script.inc", "Assembly", 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 52, 286
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\apprentice.inc", "Assembly", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 23, 163
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\battle_arena.inc", "Assembly", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\battle_dome.inc", "Assembly", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 23, 145
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\battle_factory.inc", "Assembly", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 16, 102
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\battle_palace.inc", "Assembly", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\battle_pike.inc", "Assembly", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 27, 172
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\battle_pyramid.inc", "Assembly", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 16, 105
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\battle_tower.inc", "Assembly", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 14, 92
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_frontier\frontier_util.inc", "Assembly", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 23, 160
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_script.inc", "Assembly", 0, 0, 0, 0, 1140, 0, 0, 0, 0, 0, 0, 0, 0, 301, 1441
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\battle_tent.inc", "Assembly", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 31, 168
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\contest_ai_script.inc", "Assembly", 0, 0, 0, 0, 702, 0, 0, 0, 0, 0, 0, 0, 0, 170, 872
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\event.inc", "Assembly", 0, 0, 0, 0, 1667, 0, 0, 0, 0, 0, 0, 0, 0, 275, 1942
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\field_effect_script.inc", "Assembly", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\function.inc", "Assembly", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\m4a.inc", "Assembly", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\map.inc", "Assembly", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 20, 157
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\movement.inc", "Assembly", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 3, 167
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\music_voice.inc", "Assembly", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 20, 153
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asm\macros\trainer_hill.inc", "Assembly", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 18, 109
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asmdiff.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 23, 117
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\asmdiff.sh", "Shell Script", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\build_tools.sh", "Shell Script", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\constants\constants.inc", "Assembly", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\constants\gba_constants.inc", "Assembly", 0, 0, 0, 0, 469, 0, 0, 0, 0, 0, 0, 0, 0, 45, 514
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\constants\global.inc", "Assembly", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\constants\m4a_constants.inc", "Assembly", 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 19, 253
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\battle_ai_scripts.s", "Assembly", 0, 0, 0, 0, 2871, 0, 0, 0, 0, 0, 0, 0, 0, 348, 3219
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\battle_anim_scripts.s", "Assembly", 0, 0, 0, 0, 10289, 0, 0, 0, 0, 0, 0, 0, 0, 469, 10758
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\battle_scripts_1.s", "Assembly", 0, 0, 0, 0, 4137, 0, 0, 0, 0, 0, 0, 0, 0, 426, 4563
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\battle_scripts_2.s", "Assembly", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 23, 203
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\contest_ai_scripts.s", "Assembly", 0, 0, 0, 0, 881, 0, 0, 0, 0, 0, 0, 0, 0, 39, 920
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\event_scripts.s", "Assembly", 0, 0, 0, 0, 973, 0, 0, 0, 0, 0, 0, 0, 0, 87, 1060
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\field_effect_scripts.s", "Assembly", 0, 0, 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 70, 346
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\layouts\layouts.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 4425, 0, 0, 0, 0, 1, 4426
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\map_events.s", "Assembly", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps.s", "Assembly", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_CaptainsOffice\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 63
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_CaptainsOffice\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 8, 42
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Corridors_1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 1, 133
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Corridors_1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Corridors_B1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 1, 114
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Corridors_B1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 18, 87
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Deck\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Deck\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_HiddenFloorCorridors\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 1, 97
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_HiddenFloorCorridors\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 26, 156
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_HiddenFloorRooms\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 1, 219
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_HiddenFloorRooms\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 20, 118
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Room_B1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 50
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Room_B1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Rooms2_1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 1, 109
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Rooms2_1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 32, 150
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Rooms2_B1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 1, 77
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Rooms2_B1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Rooms_1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 1, 117
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Rooms_1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 18, 78
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Rooms_B1F\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Rooms_B1F\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Underwater1\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Underwater1\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Underwater2\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AbandonedShip_Underwater2\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AlteringCave\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AlteringCave\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AncientTomb\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 1, 82
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\AncientTomb\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 14, 87
