Date : 2023-04-07 21:58:56
Directory : g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald
Total : 2340 files,  873017 codes, 16175 comments, 87796 blanks, all 976988 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C            |        326 |    373,026 |      9,307 |     43,444 |    425,777 |
| C++          |        539 |    244,613 |      6,771 |     19,247 |    270,631 |
| Assembly     |        452 |     94,126 |          0 |     10,274 |    104,400 |
| JSON         |        523 |     85,431 |          0 |        531 |     85,962 |
| Poryasm      |        469 |     71,305 |          0 |     12,724 |     84,029 |
| Makefile     |         19 |      2,386 |         60 |      1,080 |      3,526 |
| Poryscript   |          2 |      1,353 |          0 |        242 |      1,595 |
| Markdown     |          4 |        477 |          4 |        184 |        665 |
| Perl         |          1 |        123 |         27 |         26 |        176 |
| PowerShell   |          1 |         94 |          0 |         23 |        117 |
| YAML         |          1 |         55 |          3 |         11 |         69 |
| Shell Script |          3 |         28 |          3 |         10 |         41 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |      2,340 |    873,017 |     16,175 |     87,796 |    976,988 |
| . (Files)                                                                                                                 |         12 |      2,681 |         47 |      1,165 |      3,893 |
| .github                                                                                                                   |          4 |        188 |         35 |         42 |        265 |
| .github (Files)                                                                                                           |          1 |          2 |          4 |          2 |          8 |
| .github\calcrom                                                                                                           |          2 |        131 |         28 |         29 |        188 |
| .github\workflows                                                                                                         |          1 |         55 |          3 |         11 |         69 |
| asm                                                                                                                       |         24 |      5,904 |          0 |      1,183 |      7,087 |
| asm (Files)                                                                                                               |          1 |         16 |          0 |          1 |         17 |
| asm\macros                                                                                                                |         23 |      5,888 |          0 |      1,182 |      7,070 |
| asm\macros (Files)                                                                                                        |         14 |      4,994 |          0 |      1,023 |      6,017 |
| asm\macros\battle_frontier                                                                                                |          9 |        894 |          0 |        159 |      1,053 |
| constants                                                                                                                 |          4 |        722 |          0 |         71 |        793 |
| data                                                                                                                      |      1,102 |    190,749 |          0 |     20,076 |    210,825 |
| data (Files)                                                                                                              |         17 |     20,476 |          0 |      1,488 |     21,964 |
| data\layouts                                                                                                              |          1 |      4,425 |          0 |          1 |      4,426 |
| data\maps                                                                                                                 |        991 |    139,691 |          0 |     13,494 |    153,185 |
| data\maps (Files)                                                                                                         |          1 |        625 |          0 |          1 |        626 |
| data\maps\AbandonedShip_CaptainsOffice                                                                                    |          2 |         96 |          0 |          9 |        105 |
| data\maps\AbandonedShip_Corridors_1F                                                                                      |          2 |        152 |          0 |          8 |        160 |
| data\maps\AbandonedShip_Corridors_B1F                                                                                     |          2 |        182 |          0 |         19 |        201 |
